trialnumber,blocknumber,trialtype,condition,RDK2display,cue,freq_attended,cue_onset_fr,cue_onset_t_est,cue_onset_t_meas,precue_frames,precue_times,postcue_frames,postcue_times,retention_frames,retention_times,eventtype,eventRDK,eventfreq,precue_eventnum,precue_eventid,precue_eventtype,precue_event_onset_fr,precue_event_onset_t_est,triggernum_cue,triggernum_retent,triggernum_event,event_response_type,event_response_RT,precue_event_response_type,precue_event_response_RT,triggernum_precue_event,participant,relevantcol,con1label,con2label,con3label
1,1,1,3,[1 2 4 5],1,23,865,1802.08333333333,NaN,864,1.8,912,1.9,480,1,2,1,23,0,NaN,NaN,NaN,NaN,30,31,36,hit,586.895990371704,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
2,1,1,5,[1 4],1,23,769,1602.08333333333,NaN,768,1.6,768,1.6,480,1,1,1,23,0,NaN,NaN,NaN,NaN,50,51,55,hit,713.161039352417,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
3,1,2,1,[1 3 4 6],1,23,961,2002.08333333333,NaN,960,2,528,1.1,480,1,1,1,23,0,NaN,NaN,NaN,NaN,10,11,15,hit,1135.23116111755,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t3d,cue_left,3t_3d
4,1,2,6,[1 4],2,17,913,1902.08333333333,NaN,912,1.9,480,1,480,1,2,4,20,1,4,2,624,1.3,60,61,66,hit,809.122657775879,miss,NaN,82,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
5,1,1,1,[1 3 4 6],1,23,961,2002.08333333333,NaN,960,2,912,1.9,480,1,1,1,23,0,NaN,NaN,NaN,NaN,10,11,15,hit,415.499305725098,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t3d,cue_left,3t_3d
6,1,1,4,[1 2 4 5],2,17,961,2002.08333333333,NaN,960,2,720,1.5,480,1,1,5,26,0,NaN,NaN,NaN,NaN,40,41,45,hit,1270.90883255005,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
7,1,1,4,[1 2 4 5],2,17,817,1702.08333333333,NaN,816,1.7,960,2,480,1,1,5,26,0,NaN,NaN,NaN,NaN,40,41,45,error,1102.66070365906,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
8,1,1,3,[1 2 4 5],1,23,769,1602.08333333333,NaN,768,1.6,816,1.7,480,1,2,2,17,0,NaN,NaN,NaN,NaN,30,31,36,hit,585.316848754883,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
9,1,1,3,[1 2 4 5],1,23,865,1802.08333333333,NaN,864,1.8,960,2,480,1,1,2,17,0,NaN,NaN,NaN,NaN,30,31,35,hit,893.452119827271,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
10,1,1,6,[1 4],2,17,817,1702.08333333333,NaN,816,1.7,912,1.9,480,1,2,4,20,0,NaN,NaN,NaN,NaN,60,61,66,hit,668.381357192993,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
11,1,1,2,[1 3 4 6],2,17,961,2002.08333333333,NaN,960,2,912,1.9,480,1,1,4,20,0,NaN,NaN,NaN,NaN,20,21,25,hit,553.294277191162,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
12,1,1,4,[1 2 4 5],2,17,769,1602.08333333333,NaN,768,1.6,720,1.5,480,1,1,4,20,0,NaN,NaN,NaN,NaN,40,41,45,error,1124.83563423157,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
13,1,1,3,[1 2 4 5],1,23,817,1702.08333333333,NaN,816,1.7,960,2,480,1,2,1,23,1,1,1,288,0.6,30,31,36,hit,830.259132385254,hit,819.426918029785,81,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
14,1,1,6,[1 4],2,17,961,2002.08333333333,NaN,960,2,768,1.6,480,1,1,4,20,0,NaN,NaN,NaN,NaN,60,61,65,error,945.659780502319,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
15,1,1,4,[1 2 4 5],2,17,865,1802.08333333333,NaN,864,1.8,816,1.7,480,1,1,4,20,0,NaN,NaN,NaN,NaN,40,41,45,hit,574.677228927612,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
16,1,1,6,[1 4],2,17,865,1802.08333333333,NaN,864,1.8,912,1.9,480,1,2,4,20,0,NaN,NaN,NaN,NaN,60,61,66,hit,653.499412536621,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
17,1,1,6,[1 4],2,17,769,1602.08333333333,NaN,768,1.6,912,1.9,480,1,2,4,20,0,NaN,NaN,NaN,NaN,60,61,66,hit,521.023511886597,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
18,1,1,6,[1 4],2,17,721,1502.08333333333,NaN,720,1.5,720,1.5,480,1,2,4,20,0,NaN,NaN,NaN,NaN,60,61,66,hit,568.937540054321,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
19,1,1,5,[1 4],1,23,721,1502.08333333333,NaN,720,1.5,912,1.9,480,1,1,1,23,1,2,2,384,0.8,50,51,55,error,1305.83391189575,error,619.741153717041,82,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
20,1,1,6,[1 4],2,17,769,1602.08333333333,NaN,768,1.6,960,2,480,1,1,4,20,0,NaN,NaN,NaN,NaN,60,61,65,hit,550.162935256958,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
21,1,1,6,[1 4],2,17,961,2002.08333333333,NaN,960,2,960,2,480,1,1,4,20,1,3,1,480,1,60,61,65,hit,931.924104690552,hit,904.92057800293,81,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
22,1,2,6,[1 4],2,17,961,2002.08333333333,NaN,960,2,624,1.3,480,1,1,4,20,1,4,2,240,0.5,60,61,65,hit,550.31795501709,hit,671.367168426514,82,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
23,1,2,5,[1 4],1,23,913,1902.08333333333,NaN,912,1.9,384,0.8,480,1,1,1,23,0,NaN,NaN,NaN,NaN,50,51,55,hit,681.920099258423,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
24,1,1,4,[1 2 4 5],2,17,865,1802.08333333333,NaN,864,1.8,912,1.9,480,1,1,5,26,0,NaN,NaN,NaN,NaN,40,41,45,hit,687.380838394165,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
25,1,1,3,[1 2 4 5],1,23,817,1702.08333333333,NaN,816,1.7,960,2,480,1,2,2,17,0,NaN,NaN,NaN,NaN,30,31,36,hit,970.87459564209,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
26,1,1,4,[1 2 4 5],2,17,961,2002.08333333333,NaN,960,2,864,1.8,480,1,2,5,26,0,NaN,NaN,NaN,NaN,40,41,46,hit,647.747945785522,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
27,1,1,1,[1 3 4 6],1,23,721,1502.08333333333,NaN,720,1.5,960,2,480,1,2,1,23,1,4,2,432,0.9,10,11,16,hit,657.322645187378,miss,NaN,82,Pilot_CG_VP90,orange,cue_left_3t3d,cue_left,3t_3d
28,1,1,5,[1 4],1,23,817,1702.08333333333,NaN,816,1.7,912,1.9,480,1,1,1,23,0,NaN,NaN,NaN,NaN,50,51,55,hit,670.805835723877,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
29,1,2,6,[1 4],2,17,769,1602.08333333333,NaN,768,1.6,384,0.8,480,1,2,4,20,0,NaN,NaN,NaN,NaN,60,61,66,hit,486.811256408691,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
30,1,2,3,[1 2 4 5],1,23,865,1802.08333333333,NaN,864,1.8,576,1.2,480,1,1,2,17,0,NaN,NaN,NaN,NaN,30,31,35,error,890.097856521606,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
31,2,1,3,[1 2 4 5],1,23,769,1602.08333333333,NaN,768,1.6,912,1.9,480,1,2,2,17,1,4,2,144,0.3,30,31,36,hit,820.157289505005,hit,793.164205551147,82,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
32,2,1,2,[1 3 4 6],2,17,865,1802.08333333333,NaN,864,1.8,720,1.5,480,1,2,4,20,0,NaN,NaN,NaN,NaN,20,21,26,hit,626.953792572021,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
33,2,1,5,[1 4],1,23,769,1602.08333333333,NaN,768,1.6,768,1.6,480,1,1,1,23,0,NaN,NaN,NaN,NaN,50,51,55,hit,574.637937545776,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
34,2,1,6,[1 4],2,17,721,1502.08333333333,NaN,720,1.5,768,1.6,480,1,1,4,20,0,NaN,NaN,NaN,NaN,60,61,65,hit,462.658786773682,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
35,2,1,2,[1 3 4 6],2,17,769,1602.08333333333,NaN,768,1.6,816,1.7,480,1,2,4,20,0,NaN,NaN,NaN,NaN,20,21,26,hit,599.788379669189,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
36,2,1,2,[1 3 4 6],2,17,817,1702.08333333333,NaN,816,1.7,816,1.7,480,1,1,4,20,0,NaN,NaN,NaN,NaN,20,21,25,error,714.715337753296,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
37,2,1,6,[1 4],2,17,961,2002.08333333333,NaN,960,2,912,1.9,480,1,1,4,20,0,NaN,NaN,NaN,NaN,60,61,65,hit,464.792823791504,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
38,2,1,1,[1 3 4 6],1,23,769,1602.08333333333,NaN,768,1.6,912,1.9,480,1,2,1,23,0,NaN,NaN,NaN,NaN,10,11,16,hit,584.834814071655,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t3d,cue_left,3t_3d
39,2,1,6,[1 4],2,17,913,1902.08333333333,NaN,912,1.9,816,1.7,480,1,1,4,20,0,NaN,NaN,NaN,NaN,60,61,65,hit,498.177671432495,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
40,2,1,5,[1 4],1,23,817,1702.08333333333,NaN,816,1.7,768,1.6,480,1,1,1,23,0,NaN,NaN,NaN,NaN,50,51,55,hit,539.013576507568,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
41,2,1,2,[1 3 4 6],2,17,769,1602.08333333333,NaN,768,1.6,912,1.9,480,1,2,4,20,1,2,2,384,0.8,20,21,26,hit,641.379833221436,hit,646.527004241943,82,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
42,2,1,4,[1 2 4 5],2,17,817,1702.08333333333,NaN,816,1.7,960,2,480,1,1,5,26,1,2,2,288,0.6,40,41,45,hit,878.405141830444,hit,601.581716537475,82,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
43,2,1,2,[1 3 4 6],2,17,769,1602.08333333333,NaN,768,1.6,912,1.9,480,1,1,4,20,1,1,1,288,0.6,20,21,25,hit,835.767507553101,error,662.16459274292,81,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
44,2,1,1,[1 3 4 6],1,23,865,1802.08333333333,NaN,864,1.8,864,1.8,480,1,2,1,23,0,NaN,NaN,NaN,NaN,10,11,16,hit,819.358253479004,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t3d,cue_left,3t_3d
45,2,1,4,[1 2 4 5],2,17,913,1902.08333333333,NaN,912,1.9,960,2,480,1,1,4,20,0,NaN,NaN,NaN,NaN,40,41,45,hit,611.142492294312,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
46,2,1,5,[1 4],1,23,865,1802.08333333333,NaN,864,1.8,864,1.8,480,1,2,1,23,0,NaN,NaN,NaN,NaN,50,51,56,hit,548.253679275513,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
47,2,1,6,[1 4],2,17,769,1602.08333333333,NaN,768,1.6,912,1.9,480,1,2,4,20,0,NaN,NaN,NaN,NaN,60,61,66,hit,698.221206665039,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
48,2,1,1,[1 3 4 6],1,23,865,1802.08333333333,NaN,864,1.8,960,2,480,1,1,1,23,0,NaN,NaN,NaN,NaN,10,11,15,error,868.77269744873,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t3d,cue_left,3t_3d
49,2,1,6,[1 4],2,17,769,1602.08333333333,NaN,768,1.6,912,1.9,480,1,1,4,20,0,NaN,NaN,NaN,NaN,60,61,65,hit,588.765382766724,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
50,2,1,2,[1 3 4 6],2,17,769,1602.08333333333,NaN,768,1.6,864,1.8,480,1,2,4,20,1,4,2,192,0.4,20,21,26,hit,732.059097290039,miss,NaN,82,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
51,2,1,2,[1 3 4 6],2,17,817,1702.08333333333,NaN,816,1.7,720,1.5,480,1,2,4,20,1,2,2,336,0.7,20,21,26,hit,873.339462280273,hit,784.538078308105,82,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
52,2,2,3,[1 2 4 5],1,23,817,1702.08333333333,NaN,816,1.7,672,1.4,480,1,1,1,23,0,NaN,NaN,NaN,NaN,30,31,35,hit,560.737276077271,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
53,2,2,4,[1 2 4 5],2,17,913,1902.08333333333,NaN,912,1.9,432,0.9,480,1,2,5,26,0,NaN,NaN,NaN,NaN,40,41,46,hit,641.653728485107,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
54,2,1,3,[1 2 4 5],1,23,769,1602.08333333333,NaN,768,1.6,768,1.6,480,1,2,2,17,0,NaN,NaN,NaN,NaN,30,31,36,hit,628.644990921021,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
55,2,1,1,[1 3 4 6],1,23,817,1702.08333333333,NaN,816,1.7,864,1.8,480,1,1,1,23,0,NaN,NaN,NaN,NaN,10,11,15,hit,696.060180664062,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t3d,cue_left,3t_3d
56,2,1,5,[1 4],1,23,721,1502.08333333333,NaN,720,1.5,720,1.5,480,1,2,1,23,1,4,2,240,0.5,50,51,56,hit,742.952346801758,hit,741.886377334595,82,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
57,2,2,5,[1 4],1,23,817,1702.08333333333,NaN,816,1.7,672,1.4,480,1,1,1,23,0,NaN,NaN,NaN,NaN,50,51,55,error,464.878702163696,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
58,2,1,4,[1 2 4 5],2,17,769,1602.08333333333,NaN,768,1.6,816,1.7,480,1,2,4,20,0,NaN,NaN,NaN,NaN,40,41,46,hit,820.216608047485,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
59,2,1,4,[1 2 4 5],2,17,817,1702.08333333333,NaN,816,1.7,960,2,480,1,2,4,20,0,NaN,NaN,NaN,NaN,40,41,46,hit,692.813920974731,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
60,2,1,2,[1 3 4 6],2,17,961,2002.08333333333,NaN,960,2,768,1.6,480,1,1,4,20,0,NaN,NaN,NaN,NaN,20,21,25,hit,478.8733959198,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
61,3,1,3,[1 2 4 5],1,23,769,1602.08333333333,NaN,768,1.6,768,1.6,480,1,1,1,23,0,NaN,NaN,NaN,NaN,30,31,35,hit,1317.60911941528,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
62,3,1,2,[1 3 4 6],2,17,769,1602.08333333333,NaN,768,1.6,768,1.6,480,1,1,4,20,0,NaN,NaN,NaN,NaN,20,21,25,hit,450.348901748657,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
63,3,1,5,[1 4],1,23,961,2002.08333333333,NaN,960,2,768,1.6,480,1,1,1,23,0,NaN,NaN,NaN,NaN,50,51,55,hit,448.087120056152,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
64,3,1,6,[1 4],2,17,721,1502.08333333333,NaN,720,1.5,720,1.5,480,1,2,4,20,0,NaN,NaN,NaN,NaN,60,61,66,hit,604.831218719482,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
65,3,1,4,[1 2 4 5],2,17,721,1502.08333333333,NaN,720,1.5,768,1.6,480,1,1,5,26,0,NaN,NaN,NaN,NaN,40,41,45,hit,708.373212814331,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
66,3,1,5,[1 4],1,23,769,1602.08333333333,NaN,768,1.6,816,1.7,480,1,2,1,23,0,NaN,NaN,NaN,NaN,50,51,56,hit,691.83988571167,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
67,3,1,6,[1 4],2,17,721,1502.08333333333,NaN,720,1.5,864,1.8,480,1,1,4,20,0,NaN,NaN,NaN,NaN,60,61,65,hit,576.717567443848,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
68,3,1,6,[1 4],2,17,721,1502.08333333333,NaN,720,1.5,816,1.7,480,1,1,4,20,1,2,2,240,0.5,60,61,65,hit,567.267942428589,hit,659.419536590576,82,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
69,3,1,2,[1 3 4 6],2,17,721,1502.08333333333,NaN,720,1.5,864,1.8,480,1,1,4,20,0,NaN,NaN,NaN,NaN,20,21,25,hit,646.268796920776,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
70,3,1,4,[1 2 4 5],2,17,769,1602.08333333333,NaN,768,1.6,864,1.8,480,1,2,5,26,1,1,1,480,1,40,41,46,hit,807.233190536499,hit,826.187372207642,81,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
71,3,1,2,[1 3 4 6],2,17,817,1702.08333333333,NaN,816,1.7,912,1.9,480,1,2,4,20,0,NaN,NaN,NaN,NaN,20,21,26,hit,783.402109146118,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
72,3,2,5,[1 4],1,23,817,1702.08333333333,NaN,816,1.7,432,0.9,480,1,2,1,23,0,NaN,NaN,NaN,NaN,50,51,56,hit,658.599519729615,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
73,3,2,4,[1 2 4 5],2,17,769,1602.08333333333,NaN,768,1.6,576,1.2,480,1,1,4,20,0,NaN,NaN,NaN,NaN,40,41,45,hit,1141.11847877502,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
74,3,2,1,[1 3 4 6],1,23,769,1602.08333333333,NaN,768,1.6,624,1.3,480,1,2,1,23,0,NaN,NaN,NaN,NaN,10,11,16,hit,700.201845169067,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t3d,cue_left,3t_3d
75,3,1,5,[1 4],1,23,961,2002.08333333333,NaN,960,2,720,1.5,480,1,1,1,23,0,NaN,NaN,NaN,NaN,50,51,55,hit,565.79065322876,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
76,3,1,5,[1 4],1,23,769,1602.08333333333,NaN,768,1.6,768,1.6,480,1,2,1,23,0,NaN,NaN,NaN,NaN,50,51,56,hit,650.813865661621,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
77,3,1,1,[1 3 4 6],1,23,913,1902.08333333333,NaN,912,1.9,960,2,480,1,2,1,23,0,NaN,NaN,NaN,NaN,10,11,16,hit,646.568155288696,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t3d,cue_left,3t_3d
78,3,1,6,[1 4],2,17,769,1602.08333333333,NaN,768,1.6,960,2,480,1,2,4,20,1,1,1,240,0.5,60,61,66,hit,436.375284194946,hit,888.498067855835,81,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
79,3,2,2,[1 3 4 6],2,17,769,1602.08333333333,NaN,768,1.6,528,1.1,480,1,2,4,20,0,NaN,NaN,NaN,NaN,20,21,26,hit,617.742347717285,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
80,3,1,4,[1 2 4 5],2,17,865,1802.08333333333,NaN,864,1.8,960,2,480,1,2,5,26,0,NaN,NaN,NaN,NaN,40,41,46,hit,649.45240020752,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
81,3,1,2,[1 3 4 6],2,17,865,1802.08333333333,NaN,864,1.8,912,1.9,480,1,2,4,20,1,2,2,384,0.8,20,21,26,hit,807.38787651062,hit,867.381763458252,82,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
82,3,1,6,[1 4],2,17,769,1602.08333333333,NaN,768,1.6,768,1.6,480,1,1,4,20,1,2,2,288,0.6,60,61,65,hit,954.950380325317,hit,869.082355499267,82,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
83,3,1,3,[1 2 4 5],1,23,817,1702.08333333333,NaN,816,1.7,816,1.7,480,1,1,1,23,1,2,2,240,0.5,30,31,35,hit,1015.34161567688,hit,883.169889450073,82,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
84,3,1,4,[1 2 4 5],2,17,865,1802.08333333333,NaN,864,1.8,864,1.8,480,1,2,4,20,1,3,1,192,0.4,40,41,46,hit,944.478893280029,miss,NaN,81,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
85,3,1,4,[1 2 4 5],2,17,721,1502.08333333333,NaN,720,1.5,960,2,480,1,2,5,26,0,NaN,NaN,NaN,NaN,40,41,46,hit,572.569847106934,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
86,3,2,4,[1 2 4 5],2,17,865,1802.08333333333,NaN,864,1.8,624,1.3,480,1,1,5,26,0,NaN,NaN,NaN,NaN,40,41,45,hit,917.21453666687,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
87,3,2,2,[1 3 4 6],2,17,865,1802.08333333333,NaN,864,1.8,384,0.8,480,1,2,4,20,0,NaN,NaN,NaN,NaN,20,21,26,hit,544.965171813965,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
88,3,1,5,[1 4],1,23,817,1702.08333333333,NaN,816,1.7,960,2,480,1,1,1,23,0,NaN,NaN,NaN,NaN,50,51,55,hit,635.010766983032,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
89,3,1,4,[1 2 4 5],2,17,721,1502.08333333333,NaN,720,1.5,864,1.8,480,1,2,4,20,0,NaN,NaN,NaN,NaN,40,41,46,hit,918.261480331421,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
90,3,1,4,[1 2 4 5],2,17,721,1502.08333333333,NaN,720,1.5,864,1.8,480,1,2,4,20,0,NaN,NaN,NaN,NaN,40,41,46,hit,689.244222640991,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
91,4,1,1,[1 3 4 6],1,23,817,1702.08333333333,NaN,816,1.7,720,1.5,480,1,2,1,23,1,4,2,336,0.7,10,11,16,hit,572.715330123901,hit,748.77552986145,82,Pilot_CG_VP90,orange,cue_left_3t3d,cue_left,3t_3d
92,4,1,1,[1 3 4 6],1,23,721,1502.08333333333,NaN,720,1.5,912,1.9,480,1,1,1,23,1,3,1,288,0.6,10,11,15,hit,735.504722595215,hit,773.48747253418,81,Pilot_CG_VP90,orange,cue_left_3t3d,cue_left,3t_3d
93,4,1,3,[1 2 4 5],1,23,769,1602.08333333333,NaN,768,1.6,864,1.8,480,1,1,1,23,0,NaN,NaN,NaN,NaN,30,31,35,hit,550.650453567505,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
94,4,1,6,[1 4],2,17,865,1802.08333333333,NaN,864,1.8,768,1.6,480,1,2,4,20,0,NaN,NaN,NaN,NaN,60,61,66,hit,418.152904510498,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
95,4,1,5,[1 4],1,23,961,2002.08333333333,NaN,960,2,864,1.8,480,1,1,1,23,0,NaN,NaN,NaN,NaN,50,51,55,hit,565.037202835083,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
96,4,1,1,[1 3 4 6],1,23,721,1502.08333333333,NaN,720,1.5,816,1.7,480,1,1,1,23,0,NaN,NaN,NaN,NaN,10,11,15,hit,441.260385513306,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t3d,cue_left,3t_3d
97,4,1,4,[1 2 4 5],2,17,961,2002.08333333333,NaN,960,2,864,1.8,480,1,1,5,26,1,4,2,480,1,40,41,45,hit,1028.52745056152,hit,850.480079650879,82,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
98,4,1,4,[1 2 4 5],2,17,865,1802.08333333333,NaN,864,1.8,912,1.9,480,1,1,4,20,0,NaN,NaN,NaN,NaN,40,41,45,error,940.167713165283,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
99,4,1,3,[1 2 4 5],1,23,769,1602.08333333333,NaN,768,1.6,768,1.6,480,1,2,2,17,1,1,1,192,0.4,30,31,36,hit,612.130928039551,hit,762.173986434937,81,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
100,4,1,2,[1 3 4 6],2,17,913,1902.08333333333,NaN,912,1.9,960,2,480,1,2,4,20,1,1,1,144,0.3,20,21,26,hit,552.445030212402,hit,745.380353927612,81,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
101,4,1,6,[1 4],2,17,865,1802.08333333333,NaN,864,1.8,768,1.6,480,1,2,4,20,0,NaN,NaN,NaN,NaN,60,61,66,hit,647.962665557861,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
102,4,1,4,[1 2 4 5],2,17,721,1502.08333333333,NaN,720,1.5,768,1.6,480,1,1,4,20,0,NaN,NaN,NaN,NaN,40,41,45,error,1210.96458435059,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
103,4,1,5,[1 4],1,23,721,1502.08333333333,NaN,720,1.5,816,1.7,480,1,1,1,23,1,1,1,432,0.9,50,51,55,hit,599.208879470825,hit,871.136999130249,81,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
104,4,1,3,[1 2 4 5],1,23,913,1902.08333333333,NaN,912,1.9,720,1.5,480,1,1,1,23,0,NaN,NaN,NaN,NaN,30,31,35,hit,699.857568740845,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
105,4,1,1,[1 3 4 6],1,23,817,1702.08333333333,NaN,816,1.7,912,1.9,480,1,2,1,23,0,NaN,NaN,NaN,NaN,10,11,16,hit,380.804443359375,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t3d,cue_left,3t_3d
106,4,1,6,[1 4],2,17,865,1802.08333333333,NaN,864,1.8,864,1.8,480,1,1,4,20,0,NaN,NaN,NaN,NaN,60,61,65,hit,635.308647155762,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
