participants;elecs;elec_label;con_idx;con_label1;con_label2;con_label3;time;time_label;amplitude
VP01;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;5;cue_left_3t;cue_left;3t;[1000 1500]ms;probe;8.13923182795661
VP01;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;5;cue_left_3t;cue_left;3t;[1000 1500]ms;probe;-5.4112282485381
VP01;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;6;cue_right_3t;cue_right;3t;[1000 1500]ms;probe;4.29399567234614
VP01;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;6;cue_right_3t;cue_right;3t;[1000 1500]ms;probe;5.93515665034647
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;1;cue_left_3t3d;cue_left;3t_3d;[-1000 0]ms;tracking;1.73861797188922
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;1;cue_left_3t3d;cue_left;3t_3d;[-1000 0]ms;tracking;0.630286358859719
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;2;cue_right_3t3d;cue_right;3t_3d;[-1000 0]ms;tracking;3.47155560080961
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;2;cue_right_3t3d;cue_right;3t_3d;[-1000 0]ms;tracking;-0.181667297833725
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;3;cue_left_6t;cue_left;6t;[-1000 0]ms;tracking;2.79393471987412
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;3;cue_left_6t;cue_left;6t;[-1000 0]ms;tracking;1.95514019961883
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;4;cue_right_6t;cue_right;6t;[-1000 0]ms;tracking;6.53038866933316
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;4;cue_right_6t;cue_right;6t;[-1000 0]ms;tracking;-3.2439560104243
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;5;cue_left_3t;cue_left;3t;[-1000 0]ms;tracking;3.27887806560272
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;5;cue_left_3t;cue_left;3t;[-1000 0]ms;tracking;-0.592504838138868
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;6;cue_right_3t;cue_right;3t;[-1000 0]ms;tracking;2.30310530652628
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;6;cue_right_3t;cue_right;3t;[-1000 0]ms;tracking;-3.43354647562808
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;1;cue_left_3t3d;cue_left;3t_3d;[500 1000]ms;retention;1.89580056554306
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;1;cue_left_3t3d;cue_left;3t_3d;[500 1000]ms;retention;0.864113496781314
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;2;cue_right_3t3d;cue_right;3t_3d;[500 1000]ms;retention;1.28174936294108
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;2;cue_right_3t3d;cue_right;3t_3d;[500 1000]ms;retention;1.44817499721501
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;3;cue_left_6t;cue_left;6t;[500 1000]ms;retention;1.17693784415628
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;3;cue_left_6t;cue_left;6t;[500 1000]ms;retention;1.38238662497805
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;4;cue_right_6t;cue_right;6t;[500 1000]ms;retention;3.11955521431383
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;4;cue_right_6t;cue_right;6t;[500 1000]ms;retention;-1.53015775842463
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;5;cue_left_3t;cue_left;3t;[500 1000]ms;retention;1.74210977037257
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;5;cue_left_3t;cue_left;3t;[500 1000]ms;retention;-0.522772277790562
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;6;cue_right_3t;cue_right;3t;[500 1000]ms;retention;0.658757519881176
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;6;cue_right_3t;cue_right;3t;[500 1000]ms;retention;-0.367617565016632
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;1;cue_left_3t3d;cue_left;3t_3d;[1000 1500]ms;probe;12.5334632831364
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;1;cue_left_3t3d;cue_left;3t_3d;[1000 1500]ms;probe;-0.758601803732745
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;2;cue_right_3t3d;cue_right;3t_3d;[1000 1500]ms;probe;12.2781299008013
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;2;cue_right_3t3d;cue_right;3t_3d;[1000 1500]ms;probe;-0.515245119862448
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;3;cue_left_6t;cue_left;6t;[1000 1500]ms;probe;10.5690962993292
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;3;cue_left_6t;cue_left;6t;[1000 1500]ms;probe;-3.81661581327207
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;4;cue_right_6t;cue_right;6t;[1000 1500]ms;probe;10.519413081687
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;4;cue_right_6t;cue_right;6t;[1000 1500]ms;probe;-7.74431713618997
